Empresa: IPANEMA AGRICOLA S.A.                                                                                                                                                                                                   Saldo Fisico dos Itens - 31/05/2014                                                                                                                                                                                         Data de Emissão: 12/06/2014 - 10:21:33;;;;;;;;;;;;;;;;                                                                                                             
Item;Est;Dep;Localização;Lote;Refer.;Validade;Un;Qtd Liquida;Qtd Aloca Fatur;Qtd Aloca Produção;Qtd Aloca Ped Venda;Família;Grupo Estoque;Fator Conc/PPM;Ob;Descrição                                                                                                             
11174;14;MAN;;;;;;34,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Junta do Cilindro 41400292300                                                                                                             
11175;12;MAN;;;;;;20,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Junta do Silenciador 41371490600                                                                                                             
11175;14;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Junta do Silenciador 41371490600                                                                                                             
11176;12;MAN;;;;;;20,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Junta de Vedação 41371290905                                                                                                             
11184;12;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Carburador 41371200611                                                                                                             
11184;14;MAN;;;;;;3,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Carburador 41371200611                                                                                                             
11185;12;MAN;;;;;;20,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Carcaça do Filtro 41371402801                                                                                                             
11185;13;MAN;;;;;;15,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Carcaça do Filtro 41371402801                                                                                                             
11187;12;MAN;;;;;;70,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Pré Filtro 41371241500                                                                                                             
11187;13;MAN;;;;;;21,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Pré Filtro 41371241500                                                                                                             
11190;12;MAN;;;;;;20,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Arrastador 41331902002                                                                                                             
11190;13;MAN;;;;;;16,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Arrastador 41331902002                                                                                                             
11192;12;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Tambor de Embreagem 41371602900                                                                                                             
11192;13;MAN;;;;;;9,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Tambor de Embreagem 41371602900                                                                                                             
11192;14;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Tambor de Embreagem 41371602900                                                                                                             
11200;12;MAN;;;;;;30,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Inserto 41373528100                                                                                                             
11200;14;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Inserto 41373528100                                                                                                             
11201;13;MAN;;;;;;4,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Alavanca do Acelerador 41371821001                                                                                                             
11208;14;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Tampa da Engrenagem 42316405802                                                                                                             
11211;14;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Rolamento 95030039491                                                                                                             
11212;13;MAN;;;;;;20,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Rolamento 95030039880                                                                                                             
11212;14;MAN;;;;;;30,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Rolamento 95030039880                                                                                                             
11214;14;MAN;;;;;;50,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Porca 92143200700                                                                                                             
11216;12;MAN;;;;;;20,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Eixo de Acionamento 41377113200                                                                                                             
11216;13;MAN;;;;;;13,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Eixo de Acionamento 41377113200                                                                                                             
11216;14;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Eixo de Acionamento 41377113200                                                                                                             
11228;13;MAN;;;;;;11,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Lamina Circular 41127134201 200 mm Furo 25,4mm                                                                                                             
11230;12;MAN;;;;;;5,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Carcaça do Virabrequim Lado arranque 4137022800                                                                                                             
11245;12;MAN;;;;;;13,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Ferramenta Acoplavel 42317405100                                                                                                             
11245;13;MAN;;;;;;2,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Ferramenta Acoplavel 42317405100                                                                                                             
11252;12;MAN;;;;;;15,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Pino 41281218900                                                                                                             
11254;12;MAN;;;;;;20,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Anel de Segurança 11201229000                                                                                                             
11254;13;MAN;;;;;;15,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Anel de Segurança 11201229000                                                                                                             
11260;12;MAN;;;;;;30,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Kit Garra Completo 42317407252                                                                                                             
11260;13;MAN;;;;;;23,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Kit Garra Completo 42317407252                                                                                                             
11260;14;MAN;;;;;;17,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Kit Garra Completo 42317407252                                                                                                             
11267;12;MAN;;;;;;20,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Embreagem 41371602001                                                                                                             
11268;12;MAN;;;;;;20,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Graxa 0781120111110                                                                                                             
11268;14;MAN;;;;;;26,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Graxa 0781120111110                                                                                                             
11284;14;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Embreagem 413716022000                                                                                                             
11285;12;MAN;;;;;;20,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Junta de Vedação 41141491205                                                                                                             
11285;14;MAN;;;;;;30,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Junta de Vedação 41141491205                                                                                                             
11289;14;MAN;;;;;;40,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Junta 11231290905                                                                                                             
11303;12;MAN;;;;;;20,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Manipulo Elastico 0,27 mm 00001903403                                                                                                             
11303;13;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Manipulo Elastico 0,27 mm 00001903403                                                                                                             
11303;14;MAN;;;;;;3,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Manipulo Elastico 0,27 mm 00001903403                                                                                                             
11305;14;MAN;;;;;;15,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Junta de Vedação 4231649031                                                                                                             
11308;12;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Rolo de Cordao                                                                                                             
11310;13;MAN;;;;;;15,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Kit Protecao 41330071002                                                                                                             
11311;12;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Tampa do Arranque 41371904000                                                                                                             
12001;13;MAN;;;;;;100,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Rebite Cabeça Chata 5/16 x 1/2 K3                                                                                                             
12002;13;MAN;;;;;;2,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Caixa do Mancal Inf 215.780                                                                                                             
12004;12;MAN;;;;;;11,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;"Mangueira Goodyear 1 Lona 1"""                                                                                                             
12004;13;MAN;;;;;;0,0007;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;"Mangueira Goodyear 1 Lona 1"""                                                                                                             
12008;13;MAN;;;;;;4,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Eixo Motriz 507.541                                                                                                             
12010;13;MAN;;;;;;4,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Engrenagem rolo ASA 40 16 D. 660415                                                                                                             
12011;13;MAN;;;;;;3,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Anel Ved 33811113                                                                                                             
12013;12;MAN;;;;;;100,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Haste 600 mm - 101386                                                                                                             
12013;13;MAN;;;;;;1.950,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Haste 600 mm - 101386                                                                                                             
12013;14;MAN;;;;;;100,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Haste 600 mm - 101386                                                                                                             
12018;12;MAN;;;;;;99,1000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Corrente Agrícola S 45 4x4 971606                                                                                                             
12020;12;MAN;;;;;;7,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Anel 50 x 10 x 32  204446                                                                                                             
12020;13;MAN;;;;;;8,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Anel 50 x 10 x 32  204446                                                                                                             
12021;13;MAN;;;;;;5,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Botão da Buzina 208-769                                                                                                             
12023;12;MAN;;;;;;14,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Emenda com contra Pino n. 209437 K3                                                                                                             
12023;13;MAN;;;;;;11,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Emenda com contra Pino n. 209437 K3                                                                                                             
12023;14;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Emenda com contra Pino n. 209437 K3                                                                                                             
12024;12;MAN;;;;;;75,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Tala do Verdical 861773                                                                                                             
12024;13;MAN;;;;;;74,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Tala do Verdical 861773                                                                                                             
12024;14;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Tala do Verdical 861773                                                                                                             
12025;12;MAN;;;;;;50,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Haste 500 mm 108100                                                                                                             
